                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 2.7803,                 3.3828,                 2.4832,                 2.5308,                  3.823,                 2.0899,                0.31017,                0.01693,                0.01373,                 0.0043,                 2.9143,                 3.6741,                 2.7409,                 2.5471,                 4.1733,                 2.3224,               0.002179,               0.002179,               0.002179
                     82,                 2.7116,                  3.405,                 2.5041,                  2.472,                 3.8098,                 2.0843,                0.33915,                0.01655,                 0.0133,                 0.0042,                 2.9556,                 3.7188,                 2.7825,                 2.5856,                 4.2382,                 2.3315,                0.00208,                0.00208,                0.00208
                     83,                 2.7152,                 3.3484,                 2.4964,                 2.4811,                 3.7978,                 2.1381,                0.17627,                0.02481,                 0.0148,                0.00482,                 2.8857,                 3.6676,                 2.7406,                 2.5503,                 4.1726,                 2.3148,               0.001981,               0.001981,               0.001981
                     84,                 2.7315,                 3.3084,                 2.4918,                 2.4835,                 3.7805,                 2.0867,                0.17257,                0.02704,                0.01636,                 0.0055,                 2.8843,                 3.6882,                 2.7529,                 2.5402,                 4.2004,                 2.3309,               0.001882,               0.001882,               0.001882
                     85,                 2.7198,                 3.3825,                 2.5129,                 2.4604,                 3.8283,                 2.1459,                0.17263,                0.02956,                0.01606,                0.00537,                 2.8594,                  3.657,                 2.7119,                 2.5156,                 4.1317,                 2.3078,               0.001783,               0.001783,               0.001783
                     86,                 2.6911,                 3.3742,                   2.46,                 2.3687,                 3.7738,                  2.048,                0.28962,                0.02681,                0.01578,                 0.0055,                 2.8622,                 3.6552,                 2.7302,                  2.522,                 4.1534,                 2.3334,               0.001684,               0.001684,               0.001684
                     87,                 2.6638,                 3.3772,                 2.4953,                 2.4068,                 3.8034,                 2.1395,                0.29496,                0.02275,                0.01545,                  0.005,                 2.9027,                 3.6798,                 2.7618,                 2.5378,                 4.1836,                 2.3445,               0.001585,               0.001585,               0.001585
                     88,                 2.6975,                 3.4337,                 2.4898,                 2.4337,                 3.8919,                  2.104,                0.30423,                0.02184,                0.01681,                0.00528,                 2.8693,                 3.6553,                 2.7284,                 2.5154,                 4.1578,                  2.327,               0.001486,               0.001486,               0.001486
                     89,                 2.6543,                 3.4153,                 2.4672,                 2.3529,                 3.8198,                 2.0869,                 0.2981,                0.02085,                0.01659,                 0.0058,                 2.8463,                 3.6365,                 2.7145,                 2.5209,                 4.1469,                 2.3391,               0.001387,               0.001387,               0.001387
                     90,                 2.7525,                 3.3433,                 2.4913,                 2.4211,                 3.7708,                 2.0543,                 0.1713,                0.02626,                0.01741,                0.00532,                 2.8523,                 3.6293,                 2.7121,                 2.5172,                 4.1235,                 2.3355,               0.001288,               0.001288,               0.001288
                     91,                 2.7001,                 3.5204,                 2.5311,                 2.4191,                  3.933,                 2.1932,                0.30339,                 0.0314,                0.01731,                0.00538,                 2.8403,                 3.6213,                 2.6749,                 2.5308,                  4.096,                 2.3012,               0.001189,               0.001189,               0.001189
                     92,                 2.6866,                 3.4171,                 2.5261,                 2.3686,                 3.8271,                 2.1446,                 0.1685,                0.02484,                0.01472,                0.00424,                  2.851,                 3.6453,                 2.6983,                 2.5395,                 4.1161,                 2.3192,                0.00109,                0.00109,                0.00109
